Name,Student ID,Class,Gender,Date of Birth,Nationality,Religion,Guardian Address,Previous School
Baffour Kwame Larbi,,SCIENCE 2-B,Male,2008-08-29,Ivorian,Islam,"106 Mamprobi, Accra",Crown Prep
Esi Adjoa Wiredu,,SCIENCE 2-B,Female,2008-12-17,Ghanaian,Christianity,"7 Dzorwulu, Accra",Crown Prep
Nicholas Yaw Danso,,SCIENCE 2-B,Male,2009-03-01,Ghanaian,Christianity,"9 East Legon, Accra",Hope Academy
Felicia Aba Mensah,,SCIENCE 2-B,Female,2010-06-23,Ghanaian,Islam,"89 Achimota, Accra",Divine Grace School
Gideon Kofi Osei,,SCIENCE 2-B,Male,2010-01-08,Ghanaian,Traditional,"49 Teshie, Tema",Hope Academy
Keziah Afia Mensah,,SCIENCE 2-B,Female,2009-05-28,Ivorian,Christianity,"2 Madina, Accra",New Era Academy
Mensah Yaw Amoah,,SCIENCE 2-B,Male,2009-07-16,Ghanaian,Christianity,"21 Lapaz, Tema",Galaxy Preparatory
Ivy Adjoa Ansah,,SCIENCE 2-B,Female,2010-02-17,Ghanaian,Traditional,"54 Tema, Tema",New Era Academy
Ebenezer Kojo Baidoo,,SCIENCE 2-B,Male,2008-05-11,Ivorian,Christianity,"41 Ashaley Botwe, Accra",Sunrise Basic School
Harriet Afia Peprah,,SCIENCE 2-B,Female,2010-06-28,Togolese,Islam,"6 Haatso, Accra",Hope Academy
Kwabena Kojo Ofori,,SCIENCE 2-B,Male,2010-05-05,Ghanaian,Traditional,"45 Ashaley Botwe, Accra",Crown Prep
Linda Akua Yorke,,SCIENCE 2-B,Female,2010-04-11,Nigerian,Islam,"95 Dansoman, Accra",Sunrise Basic School
Kwadwo Paapa Larbi,,SCIENCE 2-B,Male,2009-03-04,Ivorian,Christianity,"109 Ashaiman, Accra",Divine Grace School
Nhyira Naa Nti,,SCIENCE 2-B,Female,2008-05-27,Ghanaian,Christianity,"45 Dansoman, Accra",Galaxy Preparatory
Desmond Yaw Aggrey,,SCIENCE 2-B,Male,2008-11-16,Ghanaian,Christianity,"102 Mamprobi, Accra",Divine Grace School
Afua Aba Asante,,SCIENCE 2-B,Female,2010-08-06,Ghanaian,Islam,"114 Mamprobi, Accra",Divine Grace School
Bernard Kofi Frimpong,,SCIENCE 2-B,Male,2008-07-23,Ghanaian,Christianity,"23 Madina, Accra",Galaxy Preparatory
Maame Esi Nti,,SCIENCE 2-B,Female,2008-02-03,Ghanaian,Christianity,"69 Tema, Tema",Galaxy Preparatory
Nathaniel Nii Nyarko,,SCIENCE 2-B,Male,2009-07-17,Ghanaian,Christianity,"28 Madina, Accra",Little Angels School
Priscilla Aba Osei,,SCIENCE 2-B,Female,2010-02-27,Ghanaian,Christianity,"65 Teshie, Accra",Hope Academy
Obed Nii Yorke,,SCIENCE 2-B,Male,2009-03-12,Ghanaian,Christianity,"65 Spintex, Tema",New Era Academy
Serwaa Aba Essien,,SCIENCE 2-B,Female,2009-04-05,Nigerian,Christianity,"22 Osu, Tema",Sunrise Basic School
Raphael Kwame Twum,,SCIENCE 2-B,Male,2010-07-17,Ivorian,Christianity,"88 Dansoman, Accra",Galaxy Preparatory
Vivian Naa Owusu,,SCIENCE 2-B,Female,2010-06-06,Nigerian,Islam,"111 East Legon, Accra",Bright Future Academy
Cyrus Kwame Bediako,,SCIENCE 2-B,Male,2010-06-10,Ivorian,Islam,"59 Adenta, Accra",Hope Academy
Queendalyn Afia Aidoo,,SCIENCE 2-B,Female,2008-02-21,Ghanaian,Islam,"45 Teshie, Accra",St. Peter’s Basic School
Kwame Yaw Adutwum,,SCIENCE 2-B,Male,2007-12-02,Togolese,Traditional,"111 Airport Residential, Accra",Divine Grace School
Keziah Akua Dapaah,,SCIENCE 2-B,Female,2009-01-10,Togolese,Christianity,"15 Osu, Accra",Bright Future Academy
Vincent Kojo Quarshie,,SCIENCE 2-B,Male,2009-08-16,Togolese,Islam,"61 Ashaley Botwe, Accra",Little Angels School
Yaa Esi Blay,,SCIENCE 2-B,Female,2008-11-17,Nigerian,Christianity,"38 Haatso, Tema",New Era Academy
Francis Kojo Essien,,SCIENCE 2-B,Male,2009-08-05,Ghanaian,Islam,"26 Osu, Accra",Little Angels School
Tracy Adjoa Amoah,,SCIENCE 2-B,Female,2009-12-31,Ghanaian,Christianity,"73 Nungua, Accra",Ridge International School
Jeremiah Nii Adutwum,,SCIENCE 2-B,Male,2009-05-01,Ghanaian,Traditional,"74 Achimota, Accra",New Era Academy
Doris Aba Appau,,SCIENCE 2-B,Female,2009-12-02,Ivorian,Christianity,"18 East Legon, Accra",Bright Future Academy
Theophilus Kwame Larbi,,SCIENCE 2-B,Male,2009-12-14,Nigerian,Christianity,"99 Dansoman, Tema",Ridge International School
Gifty Aba Yorke,,SCIENCE 2-B,Female,2010-08-20,Nigerian,Islam,"79 Teshie, Accra",Divine Grace School
Isaac Nii Aidoo,,SCIENCE 2-B,Male,2009-06-03,Ivorian,Christianity,"21 Haatso, Accra",Divine Grace School
Adwoa Afia Aggrey,,SCIENCE 2-B,Female,2008-04-12,Ivorian,Christianity,"80 Madina, Accra",St. Peter’s Basic School
